,Date,Team,Returned,Injured,Injury,Length
0,1947-08-05,Bombers,,Jack Underman,fractured legs,(in auto accident)
1,1948-02-15,Bullets,Buddy Jeannette,,broken rib,(DTD)
2,1949-11-12,Capitols,,Fred Scolari,fractured right cheekbone,(out indefinitely)
3,1949-12-23,Knicks,,Vince Boryla,mumps,(out ~2 weeks)
4,1950-01-13,Knicks,Vince Boryla,,returned to lineup,(date approximate)
5,1950-10-25,Knicks,,Goebel Ritter / Tex Ritter,bruised ligaments in left ankle,(DTD)
6,1950-12-05,Celtics,,Andy Duncan,broken kneecap,(out indefinitely)
7,1953-01-27,Knicks,,Max Zaslofsky,fractured hand,(out indefinitely)
8,1954-09-29,Celtics,,Jack Nichols,fractured nose,(DTD)
9,1955-01-02,Warriors,,Paul Arizin,ankle injury,(DTD)
10,1957-03-25,Hawks,,Bob Pettit,fractured wrist,(date approximate)
11,1958-03-15,Royals,,Maurice Stokes,"hospitalized with encephalopathy / ""brain fever"" and paralysis",(Length Undetermined)
12,1960-01-05,Celtics,,Bill Sharman,sprained Achilles tendon,(date approximate)
13,1960-01-05,Celtics,,Jim Loscutoff,sore back and legs,(out indefinitely)
14,1960-04-05,Hawks,,Larry Foust,fractured hand,(DTD)
15,1961-11-01,Knicks,,Tom Stith,tuberculosis,(out indefinitely)
16,1963-02-03,Lakers,,Jerry West,torn hamstring,(out indefinitely)
17,1963-03-05,Knicks,,Gene Conley,right ankle injury,(DTD)
18,1964-01-26,Lakers,,Jerry West,fractured thumb,(out indefinitely)
19,1964-07-01,Warriors,,Al Attles,surgery on righ thigh to remove calcium deposits and blood clots,(date approximate)
20,1964-07-01,Warriors,,Gary Phillips,surgery on ankle,(date approximate)
21,1964-09-17,Warriors,,McCoy McLemore,broken nose,(DTD)
22,1964-09-17,Warriors,,Tom Meschery,fractured finger,(date approximate)
23,1964-10-01,Hawks,,Bob Pettit,knee injury,(date approximate)
24,1964-10-05,Warriors,,Wilt Chamberlain,stomach ailment,(DTD)
25,1964-12-15,Hawks,Bob Pettit,,returned to lineup,(date approximate)
26,1965-01-14,Lakers,,Jerry West,fractured nose,(DTD)
27,1965-04-01,Lakers,,Elgin Baylor,injured kneecap,(date approximate)
28,1965-04-02,Lakers,,Elgin Baylor,surgery on injured kneecap,(date approximate)
29,1966-01-11,Lakers,,Jerry West,corneal abrasion,(DTD)
30,1966-03-03,Knicks,,Dick Barnett,shoulder injury,(DTD)
31,1966-10-11,Lakers,,Jerry West,heel injury,(Length Undetermined)
32,1967-03-07,Lakers,,Jerry West,fractured nose,(DTD)
33,1967-03-17,Lakers,,Jerry West,sprained ankle,(DTD)
34,1967-03-21,Lakers,,Jerry West,pulled hamstring,(DTD)
35,1967-03-26,Lakers,,Jerry West,fractured hand,(out indefinitely)
36,1967-10-03,Lakers,,Jerry West,fractured hand,(out indefinitely)
37,1967-11-15,Hawks,,Jay Miller,appendectomy,(out indefinitely)
38,1967-12-10,76ers,,Larry Costello,foot injury,(date approximate)
39,1968-01-01,Lakers,,Jerry West,pulled groin,(date approximate)
40,1968-01-25,Lakers,,Jerry West,fractured nose,(DTD)
41,1968-02-23,Lakers,,Jerry West,pulled groin,(DTD)
42,1968-04-28,Lakers,,Jerry West,sprained ankle,(DTD)
43,1968-05-15,Pipers,,Charles Vaughn / Chico Vaughn,surgery on leg to remove calcified deposit,(out indefinitely)
44,1968-10-23,Lakers,,Jerry West,pulled groin,(DTD)
45,1968-12-27,Bucks,,Dick Cunningham,sprained ankle,(DTD)
46,1969-01-04,Lakers,,Jerry West,pulled groin,(DTD)
47,1969-01-30,Lakers,,Jerry West,pulled hamstring,(DTD)
48,1969-04-01,Knicks,,Phil Jackson,surgery on back,(spinal fusion)
49,1969-05-01,Lakers,,Jerry West,pulled hamstring,(DTD)
50,1969-10-24,Caps,,Rick Barry,surgery on knee,(out indefinitely)
51,1969-11-01,Lakers,,Jerry West,pulled groin,(DTD)
52,1969-11-26,Lakers,,Jerry West,sprained ankle,(DTD)
53,1969-12-01,Buccaneers,,Jimmy Jones / Jimmie Jones,knee injury,(out)
54,1969-12-09,Lakers,,Jerry West,pulled groin,(DTD)
55,1969-12-19,Bulls,,Jerry Sloan,groin injury,(DTD)
56,1970-01-04,Bulls,,Chet Walker,pulled groin,(DTD)
57,1970-01-16,Warriors,,Nate Thurmond,right knee injury,(out for season)
58,1970-02-01,Lakers,,Jerry West,pulled groin,(DTD)
59,1970-08-19,Lakers,,Earnie Killum,dislocated left foot,(out indefinitely)
60,1970-10-01,Lakers,,Elgin Baylor,torn Achilles tendon,(out for season)
61,1970-11-18,Knicks,,Willis Reed,sore left knee,(DTD)
62,1971-01-06,Lakers,,Jerry West,fractured nose,(DTD)
63,1971-01-18,Celtics,,John Havlicek,charley horse,(DTD)
64,1971-02-21,Pistons,,Terry Dischinger,left knee injury,(out indefinitely)
65,1971-02-23,Pistons,,Terry Dischinger,surgery on left knee,(out indefinitely)
66,1971-03-02,Lakers,,Jerry West,torn MCL in knee,(out indefinitely)
67,1971-09-14,Squires,,Mike Barrett,agreed to surgery on injured wrist,(out for season)
68,1971-10-20,Lakers,,Jerry West,sprained ankle,(DTD)
69,1971-11-29,Cavaliers,,Austin Carr,sprained ankle,(out indefinitely)
70,1971-12-26,Condors,,John Brisker,Achilles tendon injury,(Length Undetermined)
71,1972-01-24,Royals,,Gilbert McGregor / Gil McGregor,broken foot,(out indefinitely)
72,1972-01-25,Condors,John Brisker,,returned to lineup,(Length Undetermined)
73,1972-01-29,Cavaliers,Austin Carr,,returned to lineup,(Length Undetermined)
74,1972-09-24,76ers,,Kevin Loughery,knee injury,(DTD)
75,1972-11-03,Cavaliers,,Rick Roberson,pulled hamstring,(out indefinitely)
76,1973-01-06,Chaparrals,,Harley Swift / Skeeter Swift,surgery on knee,(out indefinitely)
77,1973-02-09,Lakers,,Jerry West,pulled hamstring,(DTD)
78,1973-03-18,Bulls,,Clifford Ray,sprained LCL in left knee,(DTD)
79,1973-05-06,Lakers,,Jerry West,pulled hamstring,(DTD)
80,1973-08-21,76ers,,Doug Collins,fractured left foot,(out indefinitely)
81,1973-11-01,Lakers,,Jerry West,pulled groin,(date approximate)
82,1973-11-06,Lakers,,Elmore Smith,fractured cheekbone,(out indefinitely)
83,1974-01-09,Lakers,,Jerry West,pulled groin,(DTD)
84,1974-01-20,Blazers,,John Johnson,fractured elbow,(out indefinitely)
85,1974-01-23,Nets,,Billy Paultz,sprained ankle,(DTD)
86,1974-02-05,Lakers,,Jerry West,pulled groin,(DTD)
87,1974-03-15,Bucks,,Lucius Allen,torn cartilage in knee,(out for season)
88,1974-03-16,Bucks,,Lucius Allen,surgery on knee to repair torn cartliage,(out for season)
89,1974-10-05,Bucks,,Kareem Abdul-Jabbar / Lew Alcindor,fractured right hand,(out indefinitely)
90,1974-10-07,Hawks,,Herm Gilliam,surgery on knee to repair torn cartilage,(out indefinitely)
91,1974-11-01,Hawks,,Lou Hudson,elbow injury,(date approximate)
92,1974-11-21,76ers,,Billy Cunningham,sore left knee,(DTD)
93,1974-12-05,Cavaliers,,Austin Carr,knee injury,(surgery)
94,1975-01-27,Bulls,,John Block,hospitalized withi back and lung ailments,(Length Undetermined)
95,1975-11-01,Squires,,Mack Calvin,partially torn tendon in knee,(out at least 1 month)
96,1975-11-01,Squires,,Mike Green,cartilage problem in knee,(out at least 1 month)
97,1975-12-05,76ers,,Billy Cunningham,partially torn ligament,(ACL?) in left knee
98,1976-05-01,Spurs,,James Silas,broken ankle,(date approximate)
99,1976-05-02,Spurs,,James Silas,surgery to repair broken ankle,(date approximate)
100,1976-08-20,Bucks,,Dave Meyers,fractured left knee,(out indefinitely)
101,1976-08-24,Cavaliers,,Jim Chones,fractured right little toe,(DTD)
102,1976-08-30,Bucks,,Dave Meyers,surgery on left knee to repair fracture,(date approximate)
103,1976-10-15,Spurs,,James Silas,injured right knee,(date approximate)
104,1976-11-15,Spurs,,James Silas,surgery on right knee to remove torn cartilage,(Length Undetermined)
105,1977-02-01,76ers,,Harvey Catchings,fractured and dislocated right elbow,(out for season)
106,1977-11-23,Pistons,Bob Lanier,,returned to lineup,(Length Undetermined)
107,1977-12-09,Rockets,,Rudy Tomjanovich,fractured facial bones,(out indefinitely)
108,1978-01-31,Jazz,,Pete Maravich,right knee injury,(out indefinitely)
109,1978-05-05,Sonics,,Dennis Johnson,dislocated middle finger on right hand,(DTD)
110,1978-10-01,Bucks,,Dave Meyers,back injury,(out for season)
111,1979-02-20,Jazz,,Pete Maravich,rehab of right knee injury,(out for season)
112,1979-05-16,Cavaliers,,John Lambert,sprained left ankle,(DTD)
113,1979-09-11,Nuggets,,Matt Teahan,fractured bone in left foot,(out indefinitely)
114,1979-11-24,Cavaliers,,John Lambert,sprained right ankle,(DTD)
115,1979-12-26,Pistons,,Bob Lanier,fractured left hand,(out indefinitely)
116,1980-01-01,Cavaliers,,Michael Russell / Campy Russell,knee injury,(date approximate)
117,1980-03-10,Bullets,,Bob Dandridge,bruised calf muscle,(DTD)
118,1980-03-12,76ers,,Doug Collins,torn ACL and cartilage in left knee,(out for season)
119,1980-03-17,76ers,,Doug Collins,surgery to repair torn ACL in left knee,(out for season)
120,1980-09-23,Knicks,,Toby Knight,torn ACL in left knee,(out indefinitely)
121,1981-09-14,76ers,,Doug Collins,torn ACL in right knee,(out indefinitely)
122,1981-09-21,76ers,,Doug Collins,surgery to remove torn cartilage in right knee,(out indefinitely)
123,1981-10-07,Hawks,,Eddie Johnson,admitted to psychiatric unit of hospital for treatment of depression,(Length Undetermined)
124,1981-10-07,Kings,,John Lambert,groin injury,(DTD)
125,1981-10-08,Knicks,,Bill Cartwright,sprained MCL,(out 4-6 weeks)
126,1981-11-15,Bucks,,Junior Bridgeman,strained knee,(DTD)
127,1981-11-28,Bucks,Junior Bridgeman,,returned to lineup,(Length Undetermined)
128,1981-12-09,Mavericks,,Mark Aguirre,stress fracture in foot,(out indefinitely)
129,1981-12-18,Bullets,,Brad Holland,flu,(DTD)
130,1981-12-19,Lakers,,Mitch Kupchak,torn ACL in knee,(out indefinitely)
131,1982-01-15,Bulls,,Ricky Sobers,sprained right ankle,(DNP)
132,1982-01-15,Bulls,,Ronnie Lester,sore left toe,(DNP)
133,1982-02-03,Nets,,Ray Williams,sprained right ankle,(DTD)
134,1982-08-13,Knicks,,Michael Russell / Campy Russell,torn ACL in right knee,(out indefinitely)
135,1982-09-14,Kings,,Kenny Dennard,surgery to remove malignant tumor from stomach,(date approximate)
136,1982-10-16,Lakers,,Kurt Rambis,sprained right arch,(out indefinitely)
137,1982-11-02,Mavericks,,Corny Thompson,surgery on right elbow to remove bone chips,(Length Undetermined)
138,1982-11-30,Sonics,,David Thompson,fluid on knee,(out ~1 week)
139,1982-12-05,Bucks,,Steve Mix,sprained right ankle,(DTD)
140,1982-12-07,Jazz,,Darrell Griffith,sprained ankle,(DTD)
141,1982-12-09,Bulls,,Quintin Dailey,team granted player's request for temporary leave of absence to seek psychiatric help,(Length Undetermined)
142,1982-12-15,Bucks,,Bob Lanier,arthroscopic surgery on right knee to remove fragments,(out 4-5 weeks)
143,1982-12-15,Celtics,,Robert Parish,sore left ankle,(DTD)
144,1982-12-17,Jazz,,Adrian Dantley,torn ligaments in right wrist,(out for season)
145,1982-12-20,76ers,,Andrew Toney,shoulder inury,(DTD)
146,1982-12-20,Bulls,Quintin Dailey,,player returned to team after temporary leave of absence to seek psychiatric help,(Length Undetermined)
147,1982-12-27,Bucks,,Harvey Catchings,sprained left wrist,(DTD)
148,1982-12-29,Pistons,,Cliff Levingston,broken left hand,(out indefinitely)
149,1983-01-01,Knicks,,Sylvester Williams / Sly Williams,arthroscopic surgery on left knee to evaluate bruised cartilage,(Length Undetermined)
150,1983-01-03,Nets,,Albert King,sprained right knee,(DTD)
151,1983-01-06,Jazz,,Adrian Dantley,surgery on right wrist to repair torn ligaments,(out for season)
152,1983-01-10,76ers,,Julius Erving,"bruised right hand, knee injury, sore back",(DTD)
153,1983-01-10,Warriors,,Micheal Ray Richardson,sprained ankle,(DTD)
154,1983-01-10,Warriors,,Sam Williams,sprained ankle,(DTD)
155,1983-01-15,Hawks,,George Johnson,surgery on knee,(out 6-8 weeks)
156,1983-02-07,Pistons,,Kent Benson,sprained left ankle,(DTD)
157,1983-02-14,Clippers,,Jerome Whitehead,arthroscopic surgery on right knee,(out for season)
158,1983-02-19,Lakers,,Bob McAdoo,sprained right foot,(DTD)
159,1983-02-23,Nets,,Otis Birdsong,stress fracture in pelvis,(out indefinitely)
160,1983-02-26,76ers,,Julius Erving,scratched cornea in right eye,(left game)
161,1983-03-01,Bulls,,Orlando Woolridge,torn ligament in right knee,(out for season)
162,1983-03-01,Bulls,,Ronnie Lester,fractured right kneecap,(out for season)
163,1983-03-01,Clippers,,Bill Walton,lack of fluid in right ankle,(DNP)
164,1983-03-01,Warriors,,Larry Smith,nerve inflammation in right forearm,(out for season)
165,1983-03-08,Lakers,,Bob McAdoo,surgery on right toe,(out 2-3 weeks)
166,1983-03-14,76ers,,Julius Erving,sprained wrist,(DTD)
167,1983-03-14,Pistons,,Kent Benson,arthroscopic surgery on left ankle,(out for season)
168,1983-04-01,Jazz,,Ben Poquette,fractured finger on left hand,(out for season)
169,1983-04-04,Suns,,Dennis Johnson,sprained ankle,(out 1-2 games)
170,1983-04-05,Clippers,,Terry Cummings,heart condition,(out indefinitely)
171,1983-04-10,76ers,,Moses Malone,right knee inflammation,(DTD)
172,1983-04-21,76ers,,Moses Malone,left knee inflammation,(DTD)
173,1983-05-13,Knicks,,Ed Sherod,surgery on right knee to remove cartilage,(Length Undetermined)
174,1983-06-02,Bucks,,Dave Cowens,surgery on right knee to repair torn tendon,(Length Undetermined)
175,1983-07-06,Bucks,,Bob Lanier,arthroscopic surgery on left knee to remove fragments,(date 07-21 per some sources)
176,1983-08-11,Cavaliers,,John Bagley,surgery on knee to remove torn cartilage,(out 3-4 weeks)
177,1983-08-31,Rockets,,Ralph Sampson,swollen/strained left foot,(DTD)
178,1983-10-03,Lakers,,Kareem Abdul-Jabbar / Lew Alcindor,viral hepatisis,(DTD)
179,1983-10-10,Lakers,Kareem Abdul-Jabbar / Lew Alcindor,,returned to lineup,(Length Undetermined)
180,1983-10-12,Sonics,,Tom Chambers,broken right hand,(DTD)
181,1983-10-19,Knicks,,Hubie Brown,head coach hospitalized with chest pains,(Length Undetermined)
182,1983-10-30,Nets,,Clarence Walker / Foots Walker,foot injury,(DNP)
183,1983-11-15,Suns,,James Edwards,right hand injury,(out ~2 weeks)
184,1983-11-18,76ers,,Bobby Jones,pinched nerve in left leg,(DTD)
185,1983-11-24,Suns,,Rick Robey,right knee inflammation,(DTD)
186,1983-12-02,Mavericks,,Jim Spanarkel,broken wrist,(out ~6 weeks)
187,1983-12-24,76ers,,Moses Malone,right ankle injury,(DTD)
188,1984-01-05,Bucks,,Nate Archibald,placed on IL with pulled right hamstring,(Length Undetermined)
189,1984-01-06,76ers,,Julius Erving,bruised forearm,(DTD)
190,1984-01-06,Suns,,Maurice Lucas,strained left knee,(DTD)
191,1984-01-20,Bulls,,Rod Higgins,head injury,(left game)
192,1984-01-21,Bulls,,Rod Higgins,consussion,(DTD)
193,1984-01-23,76ers,,Leo Rautins,stress fracture in left foot,(out 4-6 weeks)
194,1984-02-01,Suns,,Maurice Lucas,strained calf,(DTD)
195,1984-02-02,76ers,,Clemon Johnson,sprained ankle,(DTD)
196,1984-02-04,Clippers,,Michael Brooks,torn ACL in right knee,(out for season)
197,1984-02-06,Clippers,,Michael Brooks,surgery on right knee to repair torn ACL,(out for season)
198,1984-02-11,Clippers,,Bill Walton,sprained knee / flu,(DTD)
199,1984-02-13,Clippers,Bill Walton,,returned to lineup,(Length Undetermined)
200,1984-02-13,Sonics,,David Thompson,pulled groin,(DTD)
201,1984-02-17,Rockets,,Robert Reid,arthroscopic surgery on left knee,(out ~3 weeks)
202,1984-02-23,Cavaliers,,Ben Poquette,broken wrist,(out for season)
203,1984-02-23,Lakers,,Bob McAdoo,hospitalized with upper respiratory infection,(DTD)
204,1984-02-24,Hawks,,Ed Jordan / Eddie Jordan,sprained ankle,(DTD)
205,1984-03-09,Bucks,,Nate Archibald,pulled right hamstring,(out 3-4 weeks)
206,1984-03-10,Sonics,,David Thompson,torn ligaments in left knee,(suffered in disco scuffle)
207,1984-03-18,76ers,,Clint Richardson,bruised kidney,(DTD)
208,1984-03-18,76ers,,Franklin Edwards,broken left arm,(out for season)
209,1984-03-22,76ers,,Clint Richardson,bruised kidney,(DNP)
210,1984-03-22,Jazz,,Adrian Dantley,respiratory illness,(DNP)
211,1984-03-26,Sonics,,David Thompson,surgery on left knee to repair torn ligaments,(date approximate)
212,1984-03-27,Kings,,Larry Drew I,strained ligaments in left foot,(DTD)
213,1984-04-02,76ers,,Bobby Jones,right knee injury,(DTD)
214,1984-04-02,76ers,,Clint Richardson,bruised kidney,(DTD)
215,1984-04-02,76ers,,Maurice Cheeks,right knee injury,(DTD)
216,1984-04-09,Lakers,,Byron Scott,sprained knee,(DTD)
217,1984-04-11,76ers,,Bobby Jones,spained left foot,(out for rest of regular season)
218,1984-04-13,Bucks,,Nate Archibald,tear in right hamstring,(out for season)
219,1984-05-29,Suns,,Rick Robey,surgery on left heel to remove bone spur,(Length Undetermined)
220,1984-05-30,Bucks,,Lorenzo Romar,surgery on right knee to remove bone chips,(Length Undetermined)
221,1984-09-13,Hawks,,Randy Wittman,arthroscopic surgery on left knee to repair damaged cartilage and ligaments,(Length Undetermined)
222,1984-10-01,Pacers,,Clark Kellogg,arthroscopic surgery on left knee,(out 10+ days)
223,1984-10-05,Knicks,,Marvin Webster,anemia and hepatitis,(hospitalized)
224,1984-10-05,Nuggets,,Kiki Vandeweghe,back injury,(DTD)
225,1984-10-07,Bullets,,Tom Sewell,pulled hamstring,(DTD)
226,1984-10-09,Suns,,Walter Davis,three torn/sprained ligaments in left knee,(out 3-4 weeks)
227,1984-10-10,Cavaliers,,Lonnie Shelton,arthroscopic surgery on knee,(date approximate)
228,1984-10-10,Cavaliers,,Paul Thompson,broken rib,(out 1-3 weeks)
229,1984-10-23,Nuggets,Kiki Vandeweghe,,returned to lineup,(Length Undetermined)
230,1984-10-29,Knicks,,James Bailey,passed out during practice and hospitalized,(DTD)
231,1984-11-05,Pistons,,Dan Roundfield,strained left calf muscle,(out 4 games)
232,1984-11-09,Knicks,,Bill Cartwright,fractured metatarsal bone in left foot,(out indefinitely)
233,1984-11-14,Suns,,Rick Robey,surgery to remove bone growth in right heel,(out for season)
234,1984-11-23,Suns,,Mike Sanders,cartilage damage in left knee,(out 2 months)
235,1984-11-26,Suns,,Kyle Macy,strained hip,(out 1 week)
236,1984-11-27,Hawks,,Antoine Carr,broken left thumb,(out 6+ weeks)
237,1984-12-05,Lakers,,Earl Jones,broken bone in right ankle,(out indefinitely)
238,1984-12-05,Nets,,Albert King,DNP,(Length Undetermined)
239,1984-12-05,Nets,,Mike O'Koren,DNP,(Length Undetermined)
240,1984-12-07,Bullets,,Frank Johnson,broken fourth metatarsal bone in his left foot,(out indefinitely)
241,1984-12-13,Nets,,Darryl Dawkins,released from hospital,(Length Undetermined)
242,1984-12-14,Nets,,Darwin Cook,stress fracture in ankle,(out 2-3 weeks)
243,1984-12-22,Rockets,,Allen Leavell,right ankle inflammation,(out 7-10 days)
244,1985-01-02,Bulls,,Caldwell Jones,broken right middle finger,(out 4-6 weeks)
245,1985-01-03,Suns,,Kyle Macy,right foot injury,(out 5+ games)
246,1985-01-04,Lakers,,Earvin Johnson / Magic Johnson,sprained index finger,(DTD)
247,1985-01-05,Blazers,,Kenny Carr,arthroscopic surgery on left knee,(out 3-6 weeks)
248,1985-01-07,Mavericks,,Jay Vincent,pulled hamstring,(out 2+ games)
249,1985-01-08,Lakers,,Earvin Johnson / Magic Johnson,sprained index finger,(DNP)
250,1985-01-11,Knicks,,Bernard King,sprained right ankle,(DTD)
251,1985-01-16,Jazz,,Mitchell Anderson / J.J. Anderson,bruised right cheekbone,(DTD)
252,1985-01-17,Jazz,,Adrian Dantley,bruised thigh & swollen knee,(DTD)
253,1985-01-18,Sonics,,Jack Sikma,tendon and ligament damage in left ring finger,(Length Undetermined)
254,1985-01-23,Cavaliers,,Paul Thompson,stress fracture in shin bone,(out 4-6 weeks)
255,1985-01-23,Pistons,,Dan Roundfield,arthroscopic surgery on left knee,(out 3-4 weeks)
256,1985-01-28,Lakers,,Mitch Kupchak,40-stitch cut over right eye,(DTD)
257,1985-02-11,Pistons,,Kelly Tripucka,sprained ankle,(DTD)
258,1985-02-15,76ers,,Clemon Johnson,leg injury,(out 2+ games)
259,1985-02-19,76ers,,Clemon Johnson,placed in traction to treat sciatic nerve pain,(out 2-3 weeks)
260,1985-02-22,Celtics,,Cedric Maxwell,arthroscopic surgery on knee,(out 3-4 weeks)
261,1985-02-25,Bullets,,Darren Daye,flu,(DTD)
262,1985-03-06,Cavaliers,,Edgar Jones,knee injury,(DTD)
263,1985-03-12,Blazers,,Jim Paxson Jr.,surgery on dislocated finger,(DTD)
264,1985-03-12,Pistons,,Kent Benson,strained ligaments in knee,(out ~2 weeks)
265,1985-03-18,76ers,,Clint Richardson,sprained left ankle,(DTD)
266,1985-03-18,76ers,,Moses Malone,sprained right ankle,(DTD)
267,1985-03-21,Nets,,Otis Birdsong,broken right hand,(out for season)
268,1985-03-22,Suns,,Walter Davis,sprained right ankle,(DTD)
269,1985-03-23,Knicks,,Bernard King,torn ACL in knee,(out indefinitely)
270,1985-04-01,Pacers,,Jerry Sichting,stress fracture in right foot,(out for season)
271,1985-04-01,Suns,,Rick Robey,arthroscopic surgery on left knee,(out for season)
272,1985-04-02,Sonics,,Jack Sikma,surgery on left ring finger to repair torn ligament,(out indefinitely)
273,1985-04-03,Spurs,,George Gervin,sprained ankle,(DTD)
274,1985-04-09,Spurs,,Alvin Robertson,broken foot,(out for season)
275,1985-04-09,Suns,,Walter Davis,surgery on right ankle to remove bone spurs and on left hand to remove cyst,(Length Undetermined)
276,1985-04-28,Jazz,,Mark Eaton,torn MCL in right knee,(out for season)
277,1985-04-30,Jazz,,Mark Eaton,surgery on right knee to repaor torn MCL,(out for season)
278,1985-05-13,Nuggets,,Lafayette Lever / Fat Lever,arthroscopic surgery on right knee,(Length Undetermined)
279,1985-06-07,Cavaliers,,Phil Hubbard,sore left knee,(DTD)
280,1985-06-10,Cavaliers,,Phil Hubbard,arthroscopic surgery on left knee to remove loose cartilage,(Length Undetermined)
281,1985-08-04,Knicks,,Eddie Lee Wilkins,torn ACL in left knee,(out indefinitely)
282,1985-08-06,Knicks,,Eddie Lee Wilkins,arthroscopic surgery on left knee to repair torn ACL and cartilage damage,(out for season)
283,1985-08-16,Celtics,,Larry Bird,sore right elbow,(DTD)
284,1985-09-18,76ers,,Bobby Jones,surgery on left ankle to remove bone spurs,(out indefinitely)
285,1985-09-28,Cavaliers,,Lonnie Shelton,left knee injury,(out indefinitely)
286,1985-10-01,Cavaliers,,Lonnie Shelton,arthroscopic surgery on left knee,(Length Undetermined)
287,1985-10-03,Jazz,,Darrell Griffith,fractured bone in left foot,(out for season)
288,1985-10-05,Knicks,,Bill Cartwright,bruised left foot,(out ~2 weeks)
289,1985-10-12,Celtics,,Larry Bird,sore lower back,(DTD)
290,1985-10-19,Warriors,,Greg Ballard,arthroscopic surgery on right knee to repair torn cartilage,(out 2-4 weeks)
291,1985-10-25,Lakers,,Earvin Johnson / Magic Johnson,shingles,(DTD)
292,1985-10-28,Suns,,Bernard Thompson,stress fracture in left ankle,(out 3-4 weeks)
293,1985-10-29,Bulls,,Michael Jordan,broken navicular tarsal bone in left foot,(Length Undetermined)
294,1985-10-29,Knicks,,Bill Cartwright,broken metatarsal bone in his left foot,(out 4+ weeks)
295,1985-11-04,76ers,,Andrew Toney,stress fracture in right foot,(out ~3 weeks)
296,1985-11-05,Clippers,,Derek Smith,torn cartilage in left knee,(date approximate)
297,1985-11-06,Knicks,,James Bailey,partial tear in left knee,(out 1-3 weeks)
298,1985-11-10,Clippers,,Derek Smith,arthroscopic surgery on left knee to repair torn cartilage,(date approximate)
299,1985-11-18,Blazers,,Clyde Drexler,stress fracture in left leg,(Length Undetermined)
300,1985-11-18,Bulls,Quintin Dailey,,completed drug rehab program,(Length Undetermined)
301,1985-11-21,Cavaliers,,World B. Free / Lloyd Free,pulled right hamstring,(out 1+ weeks)
302,1985-12-03,76ers,,Sedale Threatt,pulled abdominal muscle,(out indefinitely)
303,1985-12-04,Blazers,,Kiki Vandeweghe,bruised bone in lower right leg,(DTD)
304,1985-12-11,Bullets,,Jeff Ruland,sprained right ankle,(DTD)
305,1985-12-12,Celtics,,Dennis Johnson,hyperextended left thumb,(DTD)
306,1985-12-25,Knicks,,Patrick Ewing Sr.,sprained right knee,(Length Undetermined)
307,1985-12-27,Knicks,,Patrick Ewing Sr.,sprained right knee,(DNP)
308,1985-12-29,Bullets,,Frank Johnson,broken fourth metatarsal bone in his left foot,(DTD)
309,1986-01-15,76ers,,Charles Barkley,lower back injury,(DNP)
310,1986-01-15,Spurs,,Johnny Moore,diagnosed with desert fever,(out for season)
311,1986-01-24,Knicks,Bill Cartwright,,returned to lineup,(Length Undetermined)
312,1986-03-01,Lakers,,Mitch Kupchak,knee injury,(date approximate)
313,1986-03-26,Knicks,,Hubie Brown,flu,(missed game)
314,1986-04-09,Bucks,,Derrick Rowland,arthroscopic surgery on knee,(Length Undetermined)
315,1986-09-29,Suns,,Charles Jones,stress fracture in shin,(out 2+ months)
316,1986-10-02,Celtics,,Bill Walton,fractured left pinky finger,(DTD)
317,1986-10-07,76ers,,Cliff Robinson,minor separation of right shoulder,(out ~1 week)
318,1986-10-07,76ers,,Roy Hinson,sore right knee,(DTD)
319,1986-10-12,Suns,,William Bedford,surgery on right knee to remove bone chips,(Length Undetermined)
320,1986-10-13,Knicks,,Bill Cartwright,left hand injury,(out ~3 weeks)
321,1986-10-16,Hawks,,Antoine Carr,burns on right foot and lower right leg,(DTD)
322,1986-10-18,Hawks,Antoine Carr,,discharged from hospital,(Length Undetermined)
323,1986-10-21,Bulls,,Gene Banks,broken right foot,(out 6-7 weeks)
324,1986-10-23,Bucks,,Scott Skiles,bulging disc in back,(out 3-5 weeks)
325,1986-10-23,Celtics,,Danny Ainge,injured vertebrae,(missed entire pre-season)
326,1986-10-25,Lakers,,A.C. Green,torn ligament in left thumb,(out 2-3 weeks)
327,1986-11-01,Nuggets,,Calvin Natt,Achilles tendon injury,(out for season)
328,1986-11-08,Blazers,,Sam Bowie,broken right leg,(date approximate)
329,1986-11-11,76ers,,Jeff Ruland,swollen left knee,(DTD)
330,1986-11-12,76ers,,Jeff Ruland,arthroscopic surgery on left knee,(date approximate)
331,1986-11-19,76ers,,Danny Vranes,broken nose,(DTD)
332,1986-11-20,Bullets,,Frank Johnson,broken fourth metatarsal bone in his left foot,(out indefinitely)
333,1986-11-20,Clippers,,Marques Johnson,bruised spinal cord in neck,(out 2-3 weeks)
334,1986-11-20,Suns,,Bernard Thompson,surgery on left shin to repair stress fracture,(Length Undetermined)
335,1986-11-24,Lakers,,Kurt Rambis,dislocated right index finger,(DTD)
336,1986-12-08,Rockets,,Robert Reid,arthroscopic surgery on right knee,(date approximate)
337,1986-12-24,Hawks,,Anthony Webb / Spud Webb,right knee injury,(out indefinitely)
338,1986-12-25,Hawks,,Anthony Webb / Spud Webb,arthroscopic surgery on left knee,(out indefinitely)
339,1986-12-27,Jazz,,Darrell Griffith,shoulder injury,(out 10-15 days)
340,1987-01-07,Celtics,,Larry Bird,strained lower back,(DNP)
341,1987-01-08,Bucks,,Paul Pressey,surgery on right ring finger to repair partially divided tendon,(out 4-5 weeks)
