,Date,Team,Returned,Injured,Injury,Length
23349,2015-05-08,Bulls,,Joakim Noah,fined $25K by NBA for pushing fan while walking to locker room,(Length Undetermined)
23350,2015-05-08,Clippers,,Matt Barnes,fined $50K by NBA for using inappropriate language during game,(Length Undetermined)
23351,2015-05-18,Blazers,,LaMarcus Aldridge,surgery on left thumb to repair torn ligament,(out indefinitely)
23352,2015-05-22,Cavaliers,,Kyrie Irving,left knee tendinitis,(DTD)
23353,2015-05-23,Hawks,,Kyle Korver,sprained right ankle,(out for season)
23354,2015-05-23,Raptors,,Terrence Ross,surgery on left ankle to remove bone spurs,(out indefinitely)
23355,2015-05-26,Cavaliers,Kyrie Irving,,returned to lineup,(Length Undetermined)
23356,2015-05-27,Hawks,,Kyle Korver,surgery on right ankle to repair ligament damage,(out indefinitely)
23357,2015-05-28,Hawks,,Shelvin Mack,separated right shoulder,(out for season)
23358,2015-06-02,Kings,,Carl Landry,surgery on right wrist to repair torn ligament,(Length Undetermined)
23359,2015-06-04,Hawks,,Shelvin Mack,surgery to repair separated right shoulder,(out for season)
23360,2015-06-05,Cavaliers,,Kyrie Irving,fractured left kneecap,(out for season)
23361,2015-06-06,Cavaliers,,Kyrie Irving,surgery on left knee to repair fractured kneecap,(out indefinitely)
23362,2015-06-16,Bulls,,Taj Gibson,surgery on left ankle,(out for season)
23363,2015-06-23,Heat,,Goran Dragic,player declined to exercise contract option,(Length Undetermined)
23364,2015-06-30,Hawks,,Kyle Korver,surgery on right elbow to remove loose bodies,(out indefinitely)
23365,2015-07-02,Cavaliers,,Timofey Mozgov,arthroscopic surgery on right knee,(out indefinitely)
23366,2015-07-09,Heat,,Tyler Johnson,fractured jaw,(out indefinitely)
23367,2015-07-11,76ers,,Joel Embiid,surgery on right foot to undergo bone graft,(out for season)
23368,2015-07-15,Nets,,Thomas Robinson,arthroscopic surgery on right knee to remove torn cartilage,(out indefinitely)
23369,2015-07-21,Wizards,,Jared Dudley,surgery on lower back,(out indefinitely)
23370,2015-08-06,Jazz,,Dante Exum,torn ACL in left knee,(out indefinitely)
23371,2015-08-19,76ers,,Joel Embiid,surgery on right foot to have 2 screws replaced and a bone graft,(out for season)
23372,2015-08-20,Warriors,,Kevon Looney,surgery on right hip to repair torn labrum,(out indefinitely)
23373,2015-09-02,,,Glen Davis,surgery on left ankle to repair torn ligaments,(out indefinitely)
23374,2015-09-02,Grizzlies,,Jarell Martin,fractured left foot,(surgery)
23375,2015-09-03,,,Landry Fields,surgery on hip to repair torn labrum,(out indefinitely)
23376,2015-09-03,Jazz,,Dante Exum,surgery on left knee to repair torn ACL,(out indefinitely)
23377,2015-09-22,Pistons,,Darrun Hilliard,surgery to repair fractured nose,(out indefinitely)
23378,2015-09-25,Bulls,,Mike Dunleavy Jr.,surgery on back,(out indefinitely)
23379,2015-09-29,Cavaliers,,Iman Shumpert,right wrist injury,(surgery)
23380,2015-09-30,Bulls,,Derrick Rose,surgery to repair fractured left orbital bone,(out indefinitely)
23381,2015-10-01,Warriors,,Steve Kerr,took leave of absence as head coach recovering from surgery on back,(out indefinitely)
23382,2015-10-06,Hornets,,Michael Kidd-Gilchrist,surgery on right shoulder to repair torn labrum,(out indefinitely)
23383,2015-10-06,Pelicans,,Alexis Ajinca / Alex Ajinca,strained right hamstring,(out indefinitely)
23384,2015-10-08,Pelicans,,Omer Asik,strained right calf,(out indefinitely)
23385,2015-10-13,Wizards,,Alan Anderson,surgery on left ankle to remove bone fragment,(DTD)
23386,2015-10-15,Nets,,Willie Reed,torn ligament in right thumb,(surgery)
23387,2015-10-20,Pelicans,,Tyreke Evans,arthroscopic surgery on right knee,(out indefinitely)
23388,2015-10-26,76ers,,Robert Covington,sprained MCL in right knee,(DTD)
23389,2015-10-26,Blazers,,Cliff Alexander,knee injury,(DTD)
23390,2015-10-26,Bucks,,Jabari Parker,sore left knee,(DTD)
23391,2015-10-26,Bucks,,O.J. Mayo,strained right hamstring,(DTD)
23392,2015-10-26,Knicks,,Arron Afflalo,strained left hamstring,(DTD)
23393,2015-10-26,Knicks,,Kevin Seraphin,sore right knee,(DTD)
23394,2015-10-26,Knicks,,Louis Amundson / Lou Amundson,back injury,(DTD)
23395,2015-10-26,Mavericks,,Chandler Parsons,recovering from arthroscopic surgery on right knee to repair cartilage damage,(DTD)
23396,2015-10-26,Nets,,Chris McCullough,knee injury,(DTD)
23397,2015-10-26,Nets,,Jarrett Jack,sore left hamstring,(DTD)
23398,2015-10-26,Nuggets,,Jusuf Nurkic,bruised knee,(DTD)
23399,2015-10-26,Rockets,,Donatas Motiejunas,recovering from surgery on back,(DTD)
23400,2015-10-26,Timberwolves,,Nikola Pekovic,recovering from surgery on right Achilles,(DTD)
23401,2015-10-26,Wizards,,Martell Webster,hip injury,(out for season)
23402,2015-10-27,Pelicans,,Jrue Holiday,recovering from surgery on lower right leg to remove screw / rest,(DTD)
23403,2015-10-27,Pelicans,,Luke Babbitt,sore/strained left hamstring,(DTD)
23404,2015-10-27,Pelicans,Alexis Ajinca / Alex Ajinca,,returned to lineup,(Length Undetermined)
23405,2015-10-28,76ers,,Kendall Marshall,right knee injury,(out indefinitely)
23406,2015-10-28,76ers,,Nik Stauskas,back spasms,(DTD)
23407,2015-10-28,Hornets,,Jeremy Lamb,sprained right ankle,(DTD)
23408,2015-10-28,Nets,Thomas Robinson,,returned to lineup,(Length Undetermined)
23409,2015-10-28,Pacers,,Myles Turner,sore right ankle,(DTD)
